# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
5.939408418657564859e+00,3.241531605388925072e+02,1.351386377201730738e+03,4.399243979985097894e+02,1.112377468104216860e+03,4.207123555834398303e+02,1.152040595146136411e+03
5.972775881683731747e+00,6.454954617103096552e+02,1.063837010146556395e+03,4.026631656743255121e+02,1.172736723987033429e+03,4.429607792074697272e+02,1.154664998545853905e+03
6.006143344709897747e+00,6.756698880413575807e+02,1.043607835647941556e+03,4.281060214174031557e+02,1.173836036120447716e+03,4.691888327787120261e+02,1.152224883140431302e+03
6.039510807736063747e+00,2.521693177869715896e+02,1.276414620905430638e+03,4.577669492900354271e+02,1.169468362579865698e+03,4.236483636449194705e+02,1.187215916612613000e+03
6.072878270762229747e+00,1.081195602417016630e+02,1.567272583007785670e+03,4.088553222120002033e+02,1.206092464779245574e+03,3.589487204176766681e+02,1.266029707421637568e+03
6.106245733788395746e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.391803710220057155e+02,1.290524225226021372e+03,2.828939487944859934e+02,1.076363862062783255e+03
6.139613196814561746e+00,1.037701187133771441e+02,1.575913940429687727e+03,2.573536032922833670e+02,1.081307570571015049e+03,2.318666773218695880e+02,1.163386681926289384e+03
6.172980659840727746e+00,5.668505755072014836e+02,9.715847236785218684e+02,2.031788006029566702e+02,1.175367512377105641e+03,2.635295326556965279e+02,1.141550094236952873e+03
6.206348122866893746e+00,5.346000387577662423e+02,8.886677953584387524e+02,2.395484865244871457e+02,1.150159149653608665e+03,2.885118061252678103e+02,1.106765089679057382e+03
6.239715585893059746e+00,5.196320521040378253e+02,8.706753104842074436e+02,2.684297771167728115e+02,1.110975394989722872e+03,3.101163816041163841e+02,1.071097991086575576e+03
6.273083048919226634e+00,5.056724385866181706e+02,8.528243138310810991e+02,2.934599063032856634e+02,1.071057257386195033e+03,3.286762272704077077e+02,1.034841859062896674e+03
6.306450511945392634e+00,4.929692189212820495e+02,8.364104164723069061e+02,3.150167073284892467e+02,1.030725729276305628e+03,3.445476342612141707e+02,9.984794223657552266e+02
6.339817974971558634e+00,4.809019760140993753e+02,8.213607989189204091e+02,3.335026536429980411e+02,9.905070653495936313e+02,3.579633290685209772e+02,9.624375202794807365e+02
6.373185437997724634e+00,4.709182203915425475e+02,8.065139959567532060e+02,3.491841407625000784e+02,9.508636749539391531e+02,3.693857113343644301e+02,9.269090828120035894e+02
6.406552901023890634e+00,4.610256816239957516e+02,7.902570149547962046e+02,3.625779398680508052e+02,9.119999248337475137e+02,3.789151809244597757e+02,8.917968888866990937e+02
6.439920364050056634e+00,4.536730784431192092e+02,7.736851873181342398e+02,3.738035492613390716e+02,8.738018124818891010e+02,3.870577664559522191e+02,8.571876229617287208e+02
6.473287827076222634e+00,4.475295688126404343e+02,7.554793831077806772e+02,3.834235588808609805e+02,8.363563555364371496e+02,3.940618459462458532e+02,8.229349547880381124e+02
6.506655290102388633e+00,4.422130354557943974e+02,7.390641260146184095e+02,3.917169848271719275e+02,7.994952514344175825e+02,4.000967214998721602e+02,7.894668054163878423e+02
6.540022753128554633e+00,4.359895305639536218e+02,7.205028858195107659e+02,3.988755141883896158e+02,7.636781046016266146e+02,4.050345242565472290e+02,7.565132479479274252e+02
6.573390216154721521e+00,4.322804472049407991e+02,7.033828021927479313e+02,4.047655018630049426e+02,7.285998499641571016e+02,4.093315618601863548e+02,7.244151222954252489e+02
6.606757679180887521e+00,4.290564825474841655e+02,6.869598597610345223e+02,4.098923368815155186e+02,6.946239036141789711e+02,4.130725953887050537e+02,6.933520681205301344e+02
6.640125142207053521e+00,4.185055833167471064e+02,6.686093732809101766e+02,4.143534402079034180e+02,6.619359201158792985e+02,4.150424815402961372e+02,6.630433687128939937e+02
6.673492605233219521e+00,4.146552663590762222e+02,6.523656607537845957e+02,4.168254750393532504e+02,6.302176779750502646e+02,4.164653324710192805e+02,6.338930993637119400e+02
6.706860068259385521e+00,4.105465108328573365e+02,6.362359515794391882e+02,4.186560234036015231e+02,5.999005278877402816e+02,4.173102631004856562e+02,6.059303318216524303e+02
